Date,Product Name,Quantity Sold,Unit Price,Customer Feedback
2025-01-02,Smart Watch,12,450,"Produit excellent et très utile"
2025-01-05,Wireless Earbuds,20,300,"Bon son mais batterie moyenne"
2025-01-08,Laptop Stand,15,150,"Très pratique, je recommande"
2025-01-12,Smart Watch,8,450,"Pas satisfait, problème technique"
2025-01-15,Wireless Earbuds,25,300,"Excellent rapport qualité prix"
2025-01-18,Laptop Stand,10,150,"Qualité normale"
2025-01-22,Smart Watch,18,450,"Service client rapide et efficace"
2025-01-25,Wireless Earbuds,5,300,"Mauvaise expérience"
2025-02-01,Laptop Stand,30,150,"Très bon produit"
2025-02-04,Smart Watch,14,450,"Design magnifique et performance top"
2025-02-08,Wireless Earbuds,22,300,"Pas mal mais peut mieux faire"
2025-02-12,Laptop Stand,16,150,"Je suis satisfait"
2025-02-15,Smart Watch,9,450,"Déçu par la qualité"
2025-02-20,Wireless Earbuds,28,300,"Super expérience utilisateur"
2025-02-25,Laptop Stand,12,150,"Correct pour le prix"
